time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,total_reward,reward
0.06,-1.7342232200925831e-07,2.6245636699256415e-08,10.03481851694619,8.750405500634884e-06,3.7752219922637664e-05,0.0,-1.2335582077223787e-05,2.161806057651194e-06,1.160203517196098,0.0003779995584392702,0.0012434845041891095,0.0,899.9653897923858,900.0157009911138,399.9645786634422,399.9989950729419,-2.999970153178403,-2.999970153178403
0.12000000000000001,-4.858700595950625e-06,8.395212704252038e-07,10.139083707339237,3.4207465031244055e-05,0.0003007922672013663,0.0,-0.00020198143181966878,3.115095088252854e-05,2.3137282035572992,0.0005096382766675818,0.004947834824997792,0.0,899.9440067860969,900.0938595208644,399.9409028931276,399.9528818758408,-5.99960836583231,-2.9996382126539065
0.18,-3.5551351711323584e-05,4.783374174266952e-06,10.312170988487306,6.722378403622997e-05,0.0006244710542597787,0.0,-0.0009004167766993964,0.0001083438557908748,3.453149889444322,0.000625910513419194,0.005905900701356026,0.0,900.0781660377555,900.116826900681,400.0000021218252,400.01057816945496,-8.994704775382328,-2.995096409550017
0.23999999999999996,-0.0001256577376798172,1.509272066948394e-05,10.552994704270933,0.00010718580136437339,0.0010966531497444976,0.0,-0.0022126177977563914,0.0002448092169386068,4.5705548566071235,0.0007407854522211888,0.008653037941179914,0.0,899.9829733216568,900.0940156910027,399.98720118042934,399.9976486311869,-11.922756810312908,-2.9280520349305794
0.3,-0.0003191449237183883,3.5744451548501676e-05,10.860026389769079,0.00018507775525300474,0.0017170937580335277,0.0,-0.004378825457336051,0.00045950385151671,5.6591217794053845,0.0018760517363319534,0.011139687279157815,0.0,899.9097511340527,900.0102251723913,399.96453613491343,400.0679103352331,-13.998990745437801,-2.076233935124893
0.36000000000000004,-0.0006728855272255746,7.348669926846488e-05,11.231345956603164,0.0002900641399916637,0.0023735362126906523,0.0,-0.007564156153784517,0.0008240250884371991,6.712639174368,0.0014045845967158167,0.010024513913103971,0.0,899.8478706060862,899.802536841045,400.11247693693775,400.06950421623935,-12.838144551156953,1.1608461942808488
0.4200000000000001,-0.0012472177756146898,0.00013767176496905478,11.664699797013201,0.000374046257987537,0.002993999964331806,0.0,-0.011718695304074364,0.0013334485248797654,7.726213417976109,0.001389845779080127,0.00689613558917727,0.0,899.9095358415028,899.7827244681322,400.08132279301617,400.07994995289636,-10.008036305643712,2.8301082455132405
0.48000000000000015,-0.002094463372706255,0.00023600576864130998,12.157542923079433,0.00047456576064774936,0.003395863799020127,0.0,-0.016596617910599135,0.0019632210149258785,8.695039122436045,0.002059471957349753,0.005802285585879168,0.0,899.8229320787449,899.7785166704091,399.8889082106336,399.94989098979397,-7.017696575700762,2.99033972994295
0.5400000000000001,-0.0032477645387014465,0.00037703560585936947,12.70711082946254,0.0007134554895573686,0.00374100605691563,0.0,-0.021898724904345027,0.002781179540889929,9.61659757011115,0.004768273533539974,0.005641795830698815,0.0,899.9399995659511,899.933386074503,399.85710989503514,400.1038615645017,-4.018212746602957,2.9994838290978048
0.6000000000000002,-0.0047291906794341915,0.0005779760323670094,13.310486665224643,0.0010742667997414301,0.004085554360411692,0.0,-0.027526819351596097,0.0039842214221260976,10.488332695872556,0.006794082021567096,0.005913164027887682,0.0,900.0761416283322,900.0870090753483,399.9010257532088,400.0855201602873,-1.0182399137070899,2.9999728328958675
